nombre_departamento,nombre_provincia,Cabecera,Municipios,poblacion_2010
Partido de General Rodríguez,Buenos Aires,General Rodríguez,-,87185
Partido del Pilar,Buenos Aires,Pilar,-,299077
Partido de La Matanza,Buenos Aires,San Justo,-,1775816
Departamento Rawson,San Juan,Villa Krause,-,114368
Partido de Villa Gesell,Buenos Aires,Villa Gesell,-,31730
Departamento Fray Mamerto Esquiú,Catamarca,San José,1,11896
Partido de Escobar,Buenos Aires,Belén de Escobar,-,213619
Departamento Junín,Mendoza,Junín (Mendoza),10 distritos,37807
Partido de La Costa,Buenos Aires,Mar del Tuyú,-,69933
Partido de Ezeiza,Buenos Aires,Ezeiza,-,163722
Partido de Berazategui,Buenos Aires,Berazategui,-,324244
Partido de Monte Hermoso,Buenos Aires,Monte Hermoso,-,6499
Partido de Florencio Varela,Buenos Aires,San Juan Bautista (ex Florencio Varela),-,426005
Partido de Moreno,Buenos Aires,Moreno,-,452505
Departamento Nueve de Julio,San Juan,9 de Julio,-,9307
Departamento Rivadavia,San Juan,Rivadavia,-,82641
Partido de Merlo,Buenos Aires,Merlo,-,528494
Departamento Guaymallén,Mendoza,Villa Nueva (Mendoza),20 distritos,280880
Departamento Yerba Buena,Tucumán,Yerba Buena,1 (+2 CR),75076
Partido de Berisso,Buenos Aires,Berisso,-,88470
Partido de Almirante Brown,Buenos Aires,Adrogué,-,552902
Partido de Quilmes,Buenos Aires,Quilmes,-,582943
Partido de Presidente Perón,Buenos Aires,Guernica,-,81141
Partido de Esteban Echeverría,Buenos Aires,Monte Grande,-,300959
Partido de Ensenada,Buenos Aires,Ensenada,-,56729
Departamento Capital,Tucumán,San Miguel de Tucumán,1,548866
Partido de Lomas de Zamora,Buenos Aires,Lomas de Zamora,-,616279
Partido de San Miguel,Buenos Aires,San Miguel,-,276190
Departamento Godoy Cruz,Mendoza,Godoy Cruz,5 distritos,189578
Partido de Malvinas Argentinas,Buenos Aires,Los Polvorines,-,322375
Partido de Pinamar,Buenos Aires,Pinamar,-,25728
Departamento Chimbas,San Juan,Villa Paula A. de Sarmiento,-,87258
Partido de General San Martín,Buenos Aires,San Martín,-,414196
Partido de Morón,Buenos Aires,Morón,-,321109
Partido de Avellaneda,Buenos Aires,Avellaneda,-,342677
Departamento Capital,Mendoza,Ciudad de Mendoza,12 distritos,114822
Partido de José C. Paz,Buenos Aires,José C. Paz,-,265981
Partido de San Isidro,Buenos Aires,San Isidro,-,292878
Partido de Lanús,Buenos Aires,Lanús,-,459263
Departamento Santa Lucía,San Juan,Santa Lucía,-,48087
Partido de Tres de Febrero,Buenos Aires,Caseros,-,340071
Partido de Ituzaingó,Buenos Aires,Ituzaingó,-,167824
Partido de Hurlingham,Buenos Aires,Hurlingham,-,181241
Partido de Vicente López,Buenos Aires,Olivos (de facto),-,269420
Departamento Capital,San Juan,San Juan,-,109123
