nombre_departamento,nombre_provincia,Cabecera,Municipios,poblacion_2010
Departamento Adolfo Alsina,Río Negro,Viedma,1 (+2 CF),57678
Departamento Ituzaingó,Corrientes,"","",31102
Departamento Santa Rosa,Mendoza,Santa Rosa,5 distritos,16099
Departamento Pirané,Formosa,Pirané,5,64566
Departamento Ñorquincó,Río Negro,Ñorquincó,0 (+4 CF),1736
Departamento Pehuenches,Neuquén,Buta Ranquil,3 (+1 CF),24087
Departamento Presidente Roque Sáenz Peña,Córdoba,Laboulaye,10,36282
Departamento La Paz,Catamarca,Recreo,2,22638
Departamento de Cochinoca,Jujuy,Abra Pampa,"",12656
Departamento Libertador General San Martín,Chaco,"","",59418
Partido de Olavarría,Buenos Aires,Olavarría,-,111708
Departamento Caucete,San Juan,Caucete,-,38343
Departamento Santo Tomé,Corrientes,"","",61643
Departamento Pellegrini,Santiago del Estero,-,"",20514
Partido de General Villegas,Buenos Aires,General Villegas,-,30865
Departamento Confluencia,Neuquén,Neuquén,8 (+1 CF),362673
Departamento Gualeguay,Entre Ríos,Gualeguay,"",51883
Departamento Independencia,La Rioja,Patquía,"",2427
Departamento La Paz,Mendoza,La Paz,6 distritos,9867
Departamento Gualeguaychú,Entre Ríos,"",Gualeguaychú,109461
Departamento San Javier,Santa Fe,San Javier (Santa Fe),"",30668
Departamento Victoria,Entre Ríos,"","",35767
Departamento Río Seco,Córdoba,Villa de María,12,13242
Departamento Villaguay,Entre Ríos,"","",48965
Departamento Río Primero,Córdoba,Santa Rosa de Río Primero,25,46675
Partido de Ayacucho,Buenos Aires,Ayacucho,-,20337
Departamento Figueroa,Santiago del Estero,-,"",17820
Departamento Cruz del Eje,Córdoba,Cruz del Eje,17,58759
Departamento Belgrano,San Luis,Villa General Roca,"",3945
Partido de Azul,Buenos Aires,Azul,-,65280
Departamento Castellanos,Santa Fe,Rafaela (Santa Fe),"",181381
Departamento La Paz,Entre Ríos,"","",66903
Departamento Choya,Santiago del Estero,-,"",34667
Departamento Las Colonias,Santa Fe,Esperanza (Santa Fe),"",106761
Departamento Valle Fértil,San Juan,San Agustín,-,7222
Departamento Rinconada,Jujuy,Rinconada (Jujuy),"",2488
Departamento San Martín,Corrientes,"","",13222
Partido de Puan,Buenos Aires,Puan,-,15743
Departamento Famatina,La Rioja,Famatina,"",5863
Departamento Ojo de Agua,Santiago del Estero,-,"",14008
Departamento Formosa,Formosa,Formosa,4 (+ 4 JV),234354
Departamento General Lamadrid*,La Rioja,Villa Castelli,"",1734
Departamento Rosario Vera Peñaloza,La Rioja,Chepes,"",14054
Departamento Minas,Neuquén,Andacollo,4 (+5 CF),7234
Departamento Hucal,La Pampa,Bernasconi,4,7540
Departamento General Taboada,Santiago del Estero,-,"",38105
Departamento Tapenagá,Chaco,"","",4102
Partido de Coronel Suárez,Buenos Aires,Coronel Suárez,-,38320
Departamento Picunches,Neuquén,Las Lajas,2 (+2 CF),7022
Partido de Adolfo Alsina,Buenos Aires,Carhué,-,17072
Partido de Tres Arroyos,Buenos Aires,Tres Arroyos,-,57110
