distrito_id,distrito_nombre,seccion_id,seccion_nombre,anio,Cambiemos/Macrismo,Izquierda,Kirchnerismo,Liberalismo,Peronismo Federal/Tercera Via
1,Ciudad Autónoma Bs.As.,1,COMUNA 01,2023,0.391316559989105,0.0338843115892687,0.328927209587362,0.218379749421218,0.0274921694130464
1,Ciudad Autónoma Bs.As.,2,COMUNA 02,2023,0.580175817020064,0.019453827683041,0.195606609417606,0.181870904725082,0.0228928411542062
1,Ciudad Autónoma Bs.As.,3,COMUNA 03,2023,0.356644122559623,0.0417202887836222,0.355895694714457,0.215054352290463,0.030685541651835
1,Ciudad Autónoma Bs.As.,4,COMUNA 04,2023,0.306845928223714,0.0428907077811391,0.394669758442237,0.223260492329428,0.0323331132234832
1,Ciudad Autónoma Bs.As.,5,COMUNA 05,2023,0.376666347401325,0.0419166369169417,0.37009238378016,0.179325537454178,0.0319990944473952
1,Ciudad Autónoma Bs.As.,6,COMUNA 06,2023,0.449587061252581,0.0344771081178514,0.321420378199456,0.164216891161144,0.0302985612689673
1,Ciudad Autónoma Bs.As.,7,COMUNA 07,2023,0.3717894575191,0.0373401927285292,0.342626790033401,0.216047913387338,0.0321956463316313
1,Ciudad Autónoma Bs.As.,8,COMUNA 08,2023,0.249282790804422,0.0409765520406992,0.412500478139464,0.266275867344987,0.030964311670428
1,Ciudad Autónoma Bs.As.,9,COMUNA 09,2023,0.337616748635113,0.0413120967378063,0.354040517980418,0.230510309976086,0.0365203266705771
1,Ciudad Autónoma Bs.As.,10,COMUNA 10,2023,0.376934678780479,0.0423654253600029,0.336275002693288,0.207042051208389,0.0373828419578411
1,Ciudad Autónoma Bs.As.,11,COMUNA 11,2023,0.415674128730083,0.0384186194803125,0.314788245921675,0.196290982517668,0.0348280233502615
1,Ciudad Autónoma Bs.As.,12,COMUNA 12,2023,0.436781221998397,0.0357544684664048,0.308942322591946,0.184748263479509,0.0337737234637436
1,Ciudad Autónoma Bs.As.,13,COMUNA 13,2023,0.543385729753948,0.0241882288516347,0.233518774346912,0.172018320078657,0.0268889469688484
1,Ciudad Autónoma Bs.As.,14,COMUNA 14,2023,0.541209746442709,0.0241588210120894,0.237101476409543,0.173317642024179,0.0242123141114796
1,Ciudad Autónoma Bs.As.,15,COMUNA 15,2023,0.37424782476272,0.0391830821280694,0.379293881347701,0.174381178949795,0.0328940328117154
2,Buenos Aires,1,ADOLFO ALSINA,2023,0.0648863636363636,0.00320075757575758,0.0494507575757576,0.0648106060606061,0.011344696969697
2,Buenos Aires,2,ALBERTI,2023,0.297014143530644,0.0161079099004715,0.35489785227868,0.285358826610791,0.0466212676794133
2,Buenos Aires,3,ALMIRANTE BROWN,2023,0.173014226437463,0.0416172693143647,0.476264572218929,0.217757250433599,0.0334557289951481
2,Buenos Aires,4,AVELLANEDA,2023,0.203612971783146,0.0317653086396326,0.41786751171749,0.174075409400558,0.0249074935008254
2,Buenos Aires,5,AYACUCHO,2023,0.156602106193387,0.010936004124015,0.159511009647249,0.1334045216879,0.0319611164297813
2,Buenos Aires,6,AZUL,2023,0.271550319005262,0.0254971359381549,0.333116006147255,0.304475387696177,0.0653611512131514
2,Buenos Aires,7,BAHÍA BLANCA,2023,0.29929832527867,0.0399327516676938,0.286329776307396,0.329733060880283,0.0447060858659574
2,Buenos Aires,8,BALCARCE,2023,0.328076746172547,0.0188908601090742,0.257408502529733,0.331822064524607,0.0638018266640384
2,Buenos Aires,9,BARADERO,2023,0.198818213416754,0.019681960375391,0.457420924574209,0.270550921098366,0.0535279805352798
2,Buenos Aires,10,ARRECIFES,2023,0.272783062289046,0.0128873887695612,0.357625038355324,0.301830827452184,0.0548736831338857
2,Buenos Aires,11,BERAZATEGUI,2023,0.184184413760824,0.0439129417271238,0.48231687339106,0.2553849754271,0.0342007956938919
2,Buenos Aires,12,BERISSO,2023,0.218983389132114,0.0371169199072882,0.481988797321659,0.22926860674736,0.0326422868915787
2,Buenos Aires,13,BOLÍVAR,2023,0.324992738287896,0.0191294244574464,0.324370305821818,0.288310718287066,0.0431968131457737
2,Buenos Aires,14,BRAGADO,2023,0.299626409943243,0.0161649543789065,0.344600905237445,0.281342050434658,0.0582656800057475
2,Buenos Aires,15,BRANDSEN,2023,0.280294945182885,0.0187736489764238,0.370039778791113,0.285728145920248,0.0451634811293296
2,Buenos Aires,16,CAMPANA,2023,0.303829291473771,0.032283778397768,0.366526657877794,0.263650856915106,0.0337094153355612
2,Buenos Aires,17,CAÑUELAS,2023,0.210879519974735,0.0348176219801042,0.431917469340492,0.284725511869046,0.0376598768356229
2,Buenos Aires,18,CAPITÁN SARMIENTO,2023,0.323462414578588,0.0166097190584662,0.26414198936978,0.329062262718299,0.0667236142748671
2,Buenos Aires,19,CARLOS CASARES,2023,0.273032819296165,0.0199683669434559,0.312771846579676,0.344075392118097,0.0501515750626071
2,Buenos Aires,20,CARLOS TEJEDOR,2023,0.306676360111475,0.017932872894705,0.412213740458015,0.221131709681328,0.0420453168544772
2,Buenos Aires,21,CARMEN DE ARECO,2023,0.25442580405969,0.0123273704699231,0.37538233385856,0.304476781907498,0.0533877097043285
2,Buenos Aires,22,PATAGONES,2023,0.271217976241592,0.0231382090549115,0.346023567577883,0.315633796097514,0.0439864510280998
2,Buenos Aires,23,CASTELLI,2023,0.281509916826616,0.0137555982085733,0.414747280870122,0.251439539347409,0.0385476647472809
2,Buenos Aires,24,COLÓN,2023,0.0164369414101291,0.00121946375372393,0.0271142005958292,0.0172512413108242,0.00479443892750745
