distrito_id,distrito_nombre,seccion_id,seccion_nombre,anio,Cambiemos/Macrismo,Izquierda,Kirchnerismo,Liberalismo,Peronismo Federal/Tercera Via,id_provincia_indec,Empleo_2019,Empleo_2020,Empleo_var,Empleo_var_porc
1,CABA,1,COMUNA 01,2019,0.520979380221135,0.0272980897659825,0.374103960356914,0.0175611915055047,0.0518379185799303,,,,,
1,CABA,2,COMUNA 02,2019,0.710728498783993,0.0192718697029995,0.206868597538507,0.013505048271796,0.0431406146363033,,,,,
1,CABA,3,COMUNA 03,2019,0.474089641788768,0.0346177639551537,0.397472945603078,0.0204062608577748,0.0649559756955332,,,,,
1,CABA,4,COMUNA 04,2019,0.412682629428287,0.032254552580582,0.462131384318365,0.0187474143374535,0.0653292591759267,,,,,
1,CABA,5,COMUNA 05,2019,0.474875056064586,0.0356490677260204,0.394021913244057,0.0197587620939322,0.0693919395143205,,,,,
1,CABA,6,COMUNA 06,2019,0.544870200528525,0.0312606870822322,0.332457640292243,0.0186382714130266,0.0677988496813306,,,,,
1,CABA,7,COMUNA 07,2019,0.480151173351302,0.0297512671022178,0.39038467172531,0.0210719831248352,0.0712873172589576,,,,,
1,CABA,8,COMUNA 08,2019,0.358578733117064,0.0288728534071405,0.515694503104753,0.0198686208786765,0.0666780492626774,,,,,
1,CABA,9,COMUNA 09,2019,0.442759357744472,0.0289998897342596,0.415854517078467,0.0232406252915681,0.0802564950762106,,,,,
1,CABA,10,COMUNA 10,2019,0.484336984248588,0.0313428689290555,0.373016340722157,0.0221580529200306,0.0823939452615273,,,,,
1,CABA,11,COMUNA 11,2019,0.52692569870484,0.0289455745703728,0.340566139274567,0.0207584400674488,0.0766476518494601,,,,,
1,CABA,12,COMUNA 12,2019,0.545943625139051,0.0302105763038232,0.328796976340253,0.0192686750671671,0.0699644160524587,,,,,
1,CABA,13,COMUNA 13,2019,0.665165732213927,0.0239084333149348,0.237161200360224,0.0159544490602214,0.0528019057025826,,,,,
1,CABA,14,COMUNA 14,2019,0.66107990128601,0.0228431117229064,0.248533551595421,0.0150923273435272,0.0476084179718988,,,,,
1,CABA,15,COMUNA 15,2019,0.470280382501411,0.0355444924589708,0.401147195015422,0.0182824542552122,0.0687621271036418,,,,,
2,BUENOS AIRES,1,ADOLFO ALSINA,2019,0.105697268915795,0.00315426511500333,0.0774460248422867,0.00284079777438188,0.0132048117236785,6,3812.66666666667,3812.66666666667,0,0
2,BUENOS AIRES,2,ALBERTI,2019,0.467015022860875,0.0147615937295885,0.453559764859569,0.0105813193990856,0.048203788373612,6,2549.08333333333,2562.33333333333,13.25,0.51710680369455
2,BUENOS AIRES,3,ALMIRANTE BROWN,2019,0.251973990421292,0.0308953254915353,0.567768392468128,0.0142854388772146,0.0620247482077792,6,127017.833333333,122827.583333333,-4190.25,-3.41148941164818
2,BUENOS AIRES,4,AVELLANEDA,2019,0.282757384319793,0.0238511872980736,0.473718875564615,0.0132818376326527,0.0540315131863549,6,101703.333333333,98501.5833333333,-3201.74999999969,-3.25045536493037
2,BUENOS AIRES,5,AYACUCHO,2019,0.219030385282364,0.00757747116037096,0.227663424564578,0.00599411897760688,0.0315162482093041,6,4701.83333333333,4667.25,-34.5833333333303,-0.740978806220586
2,BUENOS AIRES,6,AZUL,2019,0.468761996161229,0.0214731285988484,0.42929462571977,0.0135796545105566,0.0581813819577735,6,16477.25,16155.8333333333,-321.416666666701,-1.98947748491278
2,BUENOS AIRES,7,BAHÍA BLANCA,2019,0.509433862740858,0.0317750009230786,0.356661725998639,0.018899373889009,0.0594990057125375,6,86771.1666666667,84042.8333333333,-2728.3333333334,-3.24636048681534
2,BUENOS AIRES,8,BALCARCE,2019,0.511149564138562,0.0157693688987561,0.362956675046525,0.0142348754448399,0.076757321492703,6,10542.75,10512.9166666667,-29.8333333332994,-0.283777892275052
2,BUENOS AIRES,9,BARADERO,2019,0.354174740558929,0.014985144038238,0.551479137062395,0.0127459845842484,0.0500796624036516,6,8433.75,8229.16666666667,-204.58333333333,-2.48607594936705
2,BUENOS AIRES,10,ARRECIFES,2019,0.457191016806306,0.01145208467602,0.440781319716425,0.0106092905656636,0.0681175945664568,6,6000.33333333333,5870.83333333333,-129.5,-2.20581973030518
2,BUENOS AIRES,11,BERAZATEGUI,2019,0.276935843986485,0.0310604414060185,0.591017762936911,0.0147892750587817,0.0687103594080338,6,74991.1666666667,73002.6666666667,-1988.5,-2.72387310052601
2,BUENOS AIRES,12,BERISSO,2019,0.319218448690774,0.0299934658230672,0.555771590673658,0.0140086378631648,0.0694694567070936,6,24388.1666666667,23471.5,-916.666666666701,-3.9054456113444
2,BUENOS AIRES,13,BOLÍVAR,2019,0.458176809416479,0.0224559646047249,0.436388680190333,0.0102679689456549,0.0680774689039152,6,7567.91666666667,7499.83333333333,-68.0833333333394,-0.90779795106566
2,BUENOS AIRES,14,BRAGADO,2019,0.447570773421606,0.0138960725492224,0.458570394124341,0.00944795007068722,0.0634805696355298,6,8785.83333333333,8740.83333333334,-44.9999999999909,-0.51482505481923
2,BUENOS AIRES,15,BRANDSEN,2019,0.413076882318656,0.016690510252742,0.488369628569915,0.0132464367085254,0.0546812907327929,6,6507.58333333333,6471.91666666667,-35.6666666666606,-0.551098978921658
2,BUENOS AIRES,16,CAMPANA,2019,0.395403700791193,0.0268973375487474,0.48320521256279,0.0129351157901494,0.0609844168766349,6,29130.4166666667,26500.3333333333,-2630.0833333334,-9.92471792807665
