DEPARTAMENTO,NOMBRE,index
"120 """"EXALTACION DE LA CRUZ""""",DAIREAUX,120
"121 """"EZEIZA""""",DESEADO,121
"122 """"FAMAILLA""""",DIAMANTE,122
"123 """"FAMATINA""""",DOLORES,123
"124 """"FEDERACION""""",EL ALTO,124
"125 """"FEDERAL""""",EL CARMEN,125
"126 """"FELICIANO""""",EL CUY,126
"127 """"FIGUEROA""""",ELDORADO,127
"128 """"FLORENCIO VARELA""""",EMPEDRADO,128
"129 """"FLORENTINO AMEGHINO""""",ENSENADA,129
"130 """"FORMOSA""""",ESCALANTE,130
"131 """"FRAY JUSTO SANTA MARIA DE ORO""""",ESCOBAR,131
"132 """"FRAY MAMERTO ESQUIU""""",ESQUINA,132
"133 """"FUTALEUFU""""",ESTEBAN ECHEVERRIA,133
"134 """"GAIMAN""""",EXALTACION DE LA CRUZ,134
"135 """"GARAY""""",EZEIZA,135
"136 """"GASTRE""""",F. AMEGHINO,136
"137 """"GENERAL ALVARADO""""",FAMAILLA,137
"138 """"GENERAL ALVEAR""""",FAMATINA,138
"139 """"GENERAL ARENALES""""",FEDERACION,139
"140 """"GENERAL BELGRANO""""",FEDERAL,140
"141 """"GENERAL DONOVAN""""",FELICIANO,141
"142 """"GENERAL GUEMES""""",FELIPE VARELA,142
"143 """"GENERAL GÜEMES""""",FIGUEROA,143
"144 """"GENERAL GUIDO""""",FLORENCIO VARELA,144
"145 """"GENERAL LA MADRID""""",FORMOSA,145
"146 """"GENERAL LAMADRID""""",FRAY J. STA. MARIA DE ORO,146
"147 """"GENERAL LAVALLE""""",FRAY MAMERTO ESQUIU,147
"148 """"GENERAL LOPEZ""""",FUTALEUFU,148
"149 """"GENERAL MADARIAGA""""",GAIMAN,149
"150 """"GENERAL MANUEL BELGRANO""""",GARAY,150
"151 """"GENERAL OBLIGADO""""",GASTRE,151
"152 """"GENERAL OCAMPO""""",GENERAL ALVARADO,152
"153 """"GENERAL PAZ""""",GENERAL ALVEAR,153
"154 """"GENERAL PINTO""""",GENERAL ARENALES,154
"155 """"GENERAL PUEYRREDON""""",GENERAL BELGRANO,155
"156 """"GENERAL ROCA""""",GENERAL DONOVAN,156
"157 """"GENERAL RODRIGUEZ""""",GENERAL GEMES,157
"158 """"GENERAL SAN MARTIN""""",GENERAL GUIDO,158
"159 """"GENERAL VIAMONTE""""",GENERAL LAMADRID,159
"160 """"GENERAL VILLEGAS""""",GENERAL LAVALLE,160
"161 """"GOBERNADOR DUPUY""""",GENERAL LOPEZ,161
"162 """"GODOY CRUZ""""",GENERAL MADARIAGA,162
"163 """"GOYA""""",GENERAL OBLIGADO,163
"164 """"GRANEROS""""",GENERAL ORTIZ DE OCAMPO,164
"165 """"GUACHIPAS""""",GENERAL PAZ,165
"166 """"GUALEGUAY""""",GENERAL PINTO,166
"167 """"GUALEGUAYCHU""""",GENERAL PUEYRREDON,167
"168 """"GUAMINI""""",GENERAL ROCA,168
"169 """"GUARANI""""",GENERAL RODRIGUEZ,169
"170 """"GUASAYAN""""",GENERAL SAN MARTIN,170
"171 """"GUATRACHE""""",GENERAL VIAMONTE,171
"172 """"GUAYMALLEN""""",GENERAL VILLEGAS,172
"173 """"GÜEMES""""",GOBERNADOR DUPUY,173
"174 """"GÜER AIKE""""",GODOY CRUZ,174
"175 """"HIPOLITO YRIGOYEN""""",GONZALES CHAVES,175
"176 """"HUCAL""""",GOYA,176
"177 """"HUILICHES""""",GRAL. MANUEL BELGRANO,177
"178 """"HUMAHUACA""""",GRANEROS,178
"179 """"HURLINGHAM""""",GER AIKE,179
"180 """"IGLESIA""""",GUACHIPAS,180
"181 """"IGUAZU""""",GUALEGUAY,181
"182 """"INDEPENDENCIA""""",GUALEGUAYCHU,182
